Rank_2018,EN_country,ISO,Score_N
1,Norway,NOR,9237
2,Sweden,SWE,9169
3,Netherlands,NLD,8999
4,Finland,FIN,8974
5,Switzerland,CHE,8873
6,Jamaica,JAM,8867
7,Belgium,BEL,8684
8,New Zealand,NZL,8638
9,Denmark,DNK,8601
10,Costa Rica,CRI,8599
11,Austria,AUT,8596
12,Estonia,EST,8592
13,Iceland,ISL,859
14,Portugal,PRT,8583
15,Germany,DEU,8561
16,Ireland,IRL,8541
17,Luxembourg,LUX,8528
18,Canada,CAN,8472
19,Australia,AUS,8454
20,Uruguay,URY,8444
21,Suriname,SUR,8356
22,Samoa,WSM,8331
23,Ghana,GHA,8159
24,Latvia,LVA,8037
25,Cyprus,CYP,8015
26,Namibia,NAM,7976
27,Slovakia,SVK,7974
28,South Africa,ZAF,7961
29,Cape Verde,CPV,7961
30,Liechtenstein,LIE,7951
31,Spain,ESP,7949
32,Slovenia,SVN,7831
33,France,FRA,7813
34,Czech Republic,CZE,7811
35,OECS,XCD,7789
36,Lithuania,LTU,778
37,Andorra,AND,7779
38,Chile,CHL,7731
39,Trinidad and Tobago,TTO,7721
40,United Kingdom,GBR,7675
41,Burkina Faso,BFA,7667
42,Taiwan,TWN,7664
43,South Korea,KOR,7649
44,Romania,ROU,7635
45,United States,USA,7627
46,Italy,ITA,7588
47,Belize,BLZ,7545
48,Botswana,BWA,7471
49,Comoros,COM,747
50,Senegal,SEN,7439
51,Tonga,TON,7432
52,Argentina,ARG,7395
53,Papua New Guinea,PNG,7381
54,Madagascar,MDG,738
55,Guyana,GUY,7375
56,Mauritius,MUS,7355
57,Fiji,FJI,7345
58,Poland,POL,7341
59,Dominican Republic,DOM,7321
60,Haiti,HTI,7318
61,Georgia,GEO,7266
62,Bosnia and Herzegovina,BIH,7263
63,Niger,NER,726
64,Malawi,MWI,7257
65,Malta,MLT,7256
66,El Salvador,SLV,7222
67,Japan,JPN,7136
68,Lesotho,LSO,7122
69,Croatia,HRV,7106
70,Hong Kong,HKG,7096
71,Mongolia,MNG,7095
72,Mauritania,MRT,7091
73,Hungary,HUN,7089
74,Greece,GRC,7081
75,Albania,ALB,7051
76,Serbia,SRB,7042
77,Cyprus North,CTU,7041
78,Kosovo,XKO,7039
79,Sierra Leone,SLE,7002
80,Armenia,ARM,7001
81,Moldova,MDA,6999
82,Ivory Coast,CIV,6992
83,Guinea-Bissau,GNB,6991
84,Benin,BEN,6984
85,Seychelles,SYC,6983
86,Togo,TGO,6977
87,Israel,ISR,6974
88,Peru,PER,6973
89,Liberia,LBR,6967
90,Nicaragua,NIC,6959
91,Panama,PAN,6944
92,Ecuador,ECU,6944
93,Tanzania,TZA,6935
94,Bhutan,BTN,6927
95,East Timor,TLS,6919
96,Kenya,KEN,6918
97,Tunisia,TUN,6909
98,Kyrgyzstan,KGZ,69
99,Mozambique,MOZ,6888
100,Lebanon,LBN,6885
101,Ukraine,UKR,6884
102,Brazil,BRA,688
103,Montenegro,MNE,6879
104,Guinea,GIN,681
105,Kuwait,KWT,6809
106,Nepal,NPL,6795
107,Paraguay,PRY,6768
108,Gabon,GAB,6763
109,North Macedonia,MKD,6757
110,Bolivia,BOL,6755
111,Bulgaria,BGR,6478
112,Central African Republic,CAF,6475
113,Zambia,ZMB,6464
114,Congo,COG,6458
115,Mali,MLI,6385
116,Guatemala,GTM,6383
117,Uganda,UGA,6323
118,Afghanistan,AFG,6272
119,Nigeria,NGA,6259
120,Maldives,MDV,6205
121,Angola,AGO,6165
122,Gambia,GMB,6164
123,Chad,TCD,6155
124,Indonesia,IDN,6032
125,Qatar,QAT,5984
126,Zimbabwe,ZWE,5947
127,Oman,OMN,5933
128,United Arab Emirates,ARE,5914
129,Cameroon,CMR,5908
130,Colombia,COL,5897
131,Sri Lanka,LKA,5863
132,Jordan,JOR,5829
133,Philippines,PHL,5747
134,Palestine,PSE,5704
135,Morocco,MAR,5687
136,Algeria,DZA,5687
137,Myanmar,MMR,5685
138,India,IND,5676
139,Pakistan,PAK,5676
140,Thailand,THA,5569
141,Honduras,HND,5477
142,Cambodia,KHM,541
143,Venezuela,VEN,5397
144,South Sudan,SSD,5312
145,Malaysia,MYS,5259
146,Bangladesh,BGD,5138
147,Mexico,MEX,5109
148,Russian Federation,RUS,5004
149,Tajikistan,TJK,4994
150,Ethiopia,ETH,4983
151,Singapore,SGP,4905
152,Eswatini,SWZ,4854
153,Brunei Darussalam,BRN,4852
154,The Democratic Republic Of The Congo,COD,484
155,Belarus,BLR,4741
156,Rwanda,RWA,471
157,Turkey,TUR,465
158,Kazakhstan,KAZ,4559
159,Burundi,BDI,4474
160,Iraq,IRQ,4344
161,Egypt,EGY,4328
162,Libya,LBY,4321
163,Azerbaijan,AZE,4027
164,Islamic Republic of Iran,IRN,3929
165,Uzbekistan,UZB,3916
166,Bahrain,BHR,3915
167,Yemen,YEM,3777
168,Somalia,SOM,3696
169,Saudi Arabia,SAU,3687
170,Lao People's Democratic Republic,LAO,3359
171,Equatorial Guinea,GNQ,3353
172,Cuba,CUB,311
173,Djibouti,DJI,2923
174,Sudan,SDN,2887
175,Vietnam,VNM,2495
176,China,CHN,2171
177,Syrian Arab Republic,SYR,2078
178,Turkmenistan,TKM,158
179,Eritrea,ERI,1576
180,Democratic People's Republic of Korea,PRK,1113
