Rank_2014,EN_country,ISO,Score_N
1,Finland,FIN,936
2,Netherlands,NLD,9354
3,Norway,NOR,9348
4,Luxembourg,LUX,933
5,Andorra,AND,9318
6,Liechtenstein,LIE,9298
7,Denmark,DNK,9257
8,Iceland,ISL,915
9,New Zealand,NZL,9145
10,Sweden,SWE,9102
11,Estonia,EST,9037
12,Austria,AUT,8999
13,Czech Republic,CZE,8993
14,Germany,DEU,8977
15,Switzerland,CHE,8953
16,Ireland,IRL,8913
17,Jamaica,JAM,891
18,Canada,CAN,8901
19,Poland,POL,8897
20,Slovakia,SVK,8861
21,Costa Rica,CRI,8777
22,Namibia,NAM,875
23,Belgium,BEL,872
24,Cape Verde,CPV,8568
25,Cyprus,CYP,8555
26,Uruguay,URY,8392
27,Ghana,GHA,8371
28,Australia,AUS,8309
29,Belize,BLZ,8295
30,Portugal,PRT,8227
31,Suriname,SUR,818
32,Lithuania,LTU,808
33,United Kingdom,GBR,8007
34,Slovenia,SVN,7962
35,Spain,ESP,7937
36,OECS,XCD,7919
37,Latvia,LVA,789
38,El Salvador,SLV,7843
39,France,FRA,7811
40,Samoa,WSM,7798
41,Botswana,BWA,7709
42,South Africa,ZAF,7681
43,Trinidad and Tobago,TTO,7672
44,Papua New Guinea,PNG,7654
45,Romania,ROU,7652
46,United States,USA,7651
47,Haiti,HTI,7647
48,Niger,NER,7641
49,Italy,ITA,7625
50,Taiwan,TWN,7618
51,Malta,MLT,7616
52,Burkina Faso,BFA,7555
53,Comoros,COM,7548
54,Serbia,SRB,7495
55,Argentina,ARG,7473
56,Moldova,MDA,7465
57,South Korea,KOR,7434
58,Chile,CHL,742
59,Japan,JPN,7398
60,Mauritania,MRT,7347
61,Hong Kong,HKG,7345
62,Senegal,SEN,7332
63,Tonga,TON,733
64,Hungary,HUN,7327
65,Croatia,HRV,7318
66,Bosnia and Herzegovina,BIH,7314
67,Guyana,GUY,7292
68,Dominican Republic,DOM,7283
69,Tanzania,TZA,727
70,Mauritius,MUS,7231
71,Nicaragua,NIC,723
72,Sierra Leone,SLE,7177
73,Malawi,MWI,7171
74,Lesotho,LSO,7164
75,Benin,BEN,7117
76,Togo,TGO,71
77,East Timor,TLS,7096
78,Armenia,ARM,7093
79,Mozambique,MOZ,7074
80,Kosovo,XKO,7071
81,Madagascar,MDG,7062
82,Congo,COG,7056
83,Cyprus North,CTU,7046
84,Georgia,GEO,7022
85,Albania,ALB,7008
86,Guinea-Bissau,GNB,6995
87,Panama,PAN,698
88,Mongolia,MNG,697
89,Liberia,LBR,6935
90,Kenya,KEN,693
91,Kuwait,KWT,6929
92,Bhutan,BTN,6927
93,Zambia,ZMB,6911
94,Bolivia,BOL,6896
95,Ecuador,ECU,6884
96,Israel,ISR,6881
97,Kyrgyzstan,KGZ,6876
98,Gabon,GAB,6868
99,Greece,GRC,6867
100,Bulgaria,BGR,6858
101,Ivory Coast,CIV,6837
102,Guinea,GIN,6833
103,Seychelles,SYC,6832
104,Peru,PER,683
105,Paraguay,PRY,6819
106,Lebanon,LBN,6811
107,Fiji,FJI,6743
108,Maldives,MDV,6689
109,Central African Republic,CAF,6687
110,Uganda,UGA,6671
111,Brazil,BRA,6597
112,Nigeria,NGA,6576
113,Qatar,QAT,6568
114,Montenegro,MNE,6522
115,Tajikistan,TJK,6514
116,Venezuela,VEN,6463
117,Brunei Darussalam,BRN,6455
118,United Arab Emirates,ARE,6397
119,South Sudan,SSD,6395
120,Nepal,NPL,6384
121,Algeria,DZA,6374
122,Mali,MLI,6371
123,North Macedonia,MKD,6357
124,Angola,AGO,635
125,Guatemala,GTM,6339
126,Colombia,COL,6332
127,Ukraine,UKR,6307
128,Afghanistan,AFG,6293
129,Honduras,HND,6286
130,Thailand,THA,6206
131,Cameroon,CMR,6187
132,Indonesia,IDN,6185
133,Tunisia,TUN,6131
134,Oman,OMN,6117
135,Zimbabwe,ZWE,6081
136,Morocco,MAR,6028
137,Libya,LBY,6016
138,Palestine,PSE,5989
139,Chad,TCD,5978
140,India,IND,5966
141,Jordan,JOR,5958
142,Burundi,BDI,595
143,Ethiopia,ETH,5942
144,Cambodia,KHM,5903
145,Myanmar,MMR,5857
146,Bangladesh,BGD,5742
147,Malaysia,MYS,5727
148,Russian Federation,RUS,5722
149,Philippines,PHL,5631
150,Singapore,SGP,5571
151,The Democratic Republic Of The Congo,COD,5536
152,Mexico,MEX,5496
153,Iraq,IRQ,5456
154,Turkey,TUR,5413
155,Gambia,GMB,5358
156,Eswatini,SWZ,5324
157,Belarus,BLR,5218
158,Pakistan,PAK,4854
159,Egypt,EGY,4811
160,Azerbaijan,AZE,4713
161,Kazakhstan,KAZ,4506
162,Rwanda,RWA,4343
163,Bahrain,BHR,4174
164,Saudi Arabia,SAU,417
165,Sri Lanka,LKA,4087
166,Uzbekistan,UZB,3899
167,Yemen,YEM,3274
168,Equatorial Guinea,GNQ,3205
169,Djibouti,DJI,2966
170,Cuba,CUB,2908
171,Lao People's Democratic Republic,LAO,2878
172,Sudan,SDN,2812
173,Islamic Republic of Iran,IRN,2771
174,Vietnam,VNM,2764
175,China,CHN,2709
176,Somalia,SOM,2681
177,Syrian Arab Republic,SYR,2296
178,Turkmenistan,TKM,1919
179,Democratic People's Republic of Korea,PRK,1804
180,Eritrea,ERI,1517
