Rank_2017,EN_country,ISO,Score_N
1,Norway,NOR,924
2,Sweden,SWE,9173
3,Finland,FIN,9108
4,Denmark,DNK,8964
5,Netherlands,NLD,8872
6,Costa Rica,CRI,8807
7,Switzerland,CHE,8787
8,Jamaica,JAM,8727
9,Belgium,BEL,8725
10,Iceland,ISL,8697
11,Austria,AUT,8653
12,Estonia,EST,8645
13,New Zealand,NZL,8602
14,Ireland,IRL,8592
15,Luxembourg,LUX,8528
16,Germany,DEU,8503
17,Slovakia,SVK,8449
18,Portugal,PRT,8423
19,Australia,AUS,8398
20,Suriname,SUR,8393
21,Samoa,WSM,8359
22,Canada,CAN,8347
23,Czech Republic,CZE,8309
24,Namibia,NAM,8292
25,Uruguay,URY,8257
26,Ghana,GHA,8205
27,Cape Verde,CPV,8198
28,Latvia,LVA,8138
29,Spain,ESP,8131
30,Cyprus,CYP,8021
31,South Africa,ZAF,7988
32,Liechtenstein,LIE,7969
33,Chile,CHL,7947
34,Trinidad and Tobago,TTO,7938
35,Andorra,AND,7897
36,Lithuania,LTU,7863
37,Slovenia,SVN,783
38,OECS,XCD,779
39,France,FRA,7776
40,United Kingdom,GBR,7774
41,Belize,BLZ,7657
42,Burkina Faso,BFA,7615
43,United States,USA,7612
44,Comoros,COM,7567
45,Taiwan,TWN,7563
46,Romania,ROU,7554
47,Malta,MLT,7524
48,Botswana,BWA,7507
49,Tonga,TON,7503
50,Argentina,ARG,7493
51,Papua New Guinea,PNG,7493
52,Italy,ITA,7374
53,Haiti,HTI,7364
54,Poland,POL,7353
55,Mauritania,MRT,7351
56,Mauritius,MUS,7333
57,Madagascar,MDG,7329
58,Senegal,SEN,7328
59,Dominican Republic,DOM,7324
60,Guyana,GUY,732
61,Niger,NER,7279
62,El Salvador,SLV,7276
63,South Korea,KOR,7239
64,Georgia,GEO,7224
65,Bosnia and Herzegovina,BIH,7217
66,Serbia,SRB,7195
67,Fiji,FJI,7136
68,Lesotho,LSO,7122
69,Mongolia,MNG,7105
70,Malawi,MWI,7103
71,Hungary,HUN,7099
72,Japan,JPN,7056
73,Hong Kong,HKG,7054
74,Croatia,HRV,7041
75,Cyprus North,CTU,7012
76,Albania,ALB,7008
77,Guinea-Bissau,GNB,6991
78,Benin,BEN,6968
79,Armenia,ARM,6962
80,Moldova,MDA,6959
81,Ivory Coast,CIV,6958
82,Kosovo,XKO,6955
83,Tanzania,TZA,6935
84,Bhutan,BTN,6927
85,Sierra Leone,SLE,6927
86,Togo,TGO,6925
87,Seychelles,SYC,6914
88,Greece,GRC,6911
89,Kyrgyzstan,KGZ,6908
90,Peru,PER,6902
91,Israel,ISR,6899
92,Nicaragua,NIC,6899
93,Mozambique,MOZ,6895
94,Liberia,LBR,6888
95,Kenya,KEN,688
96,Panama,PAN,6788
97,Tunisia,TUN,6778
98,East Timor,TLS,6718
99,Lebanon,LBN,6699
100,Nepal,NPL,6698
101,Guinea,GIN,6685
102,Ukraine,UKR,6681
103,Brazil,BRA,6642
104,Kuwait,KWT,6639
105,Ecuador,ECU,6636
106,Montenegro,MNE,6635
107,Bolivia,BOL,6612
108,Gabon,GAB,6517
109,Bulgaria,BGR,6499
110,Paraguay,PRY,6436
111,North Macedonia,MKD,6426
112,Uganda,UGA,6406
113,Central African Republic,CAF,6388
114,Zambia,ZMB,6352
115,Congo,COG,6327
116,Mali,MLI,6173
117,Maldives,MDV,607
118,Guatemala,GTM,6067
119,United Arab Emirates,ARE,6061
120,Afghanistan,AFG,6054
121,Chad,TCD,6034
122,Nigeria,NGA,6031
123,Qatar,QAT,6017
124,Indonesia,IDN,6007
125,Angola,AGO,5958
126,Oman,OMN,5954
127,Philippines,PHL,5892
128,Zimbabwe,ZWE,5856
129,Colombia,COL,5853
130,Cameroon,CMR,5841
131,Myanmar,MMR,5818
132,Cambodia,KHM,5793
133,Morocco,MAR,5758
134,Algeria,DZA,5717
135,Palestine,PSE,571
136,India,IND,5706
137,Venezuela,VEN,5706
138,Jordan,JOR,5676
139,Pakistan,PAK,5645
140,Honduras,HND,5625
141,Sri Lanka,LKA,5566
142,Thailand,THA,5531
143,Gambia,GMB,533
144,Malaysia,MYS,5311
145,South Sudan,SSD,5184
146,Bangladesh,BGD,5164
147,Mexico,MEX,5103
148,Russian Federation,RUS,5055
149,Tajikistan,TJK,4973
150,Ethiopia,ETH,4966
151,Singapore,SGP,489
152,Eswatini,SWZ,4873
153,Belarus,BLR,4757
154,The Democratic Republic Of The Congo,COD,4733
155,Turkey,TUR,4702
156,Brunei Darussalam,BRN,4628
157,Kazakhstan,KAZ,4599
158,Iraq,IRQ,4597
159,Rwanda,RWA,4589
160,Burundi,BDI,4422
161,Egypt,EGY,4422
162,Azerbaijan,AZE,436
163,Libya,LBY,4319
164,Bahrain,BHR,4112
165,Islamic Republic of Iran,IRN,3488
166,Yemen,YEM,342
167,Somalia,SOM,3405
168,Saudi Arabia,SAU,3398
169,Uzbekistan,UZB,3389
170,Lao People's Democratic Republic,LAO,3359
171,Equatorial Guinea,GNQ,3353
172,Djibouti,DJI,2946
173,Cuba,CUB,2825
174,Sudan,SDN,2644
175,Vietnam,VNM,2604
176,China,CHN,2234
177,Syrian Arab Republic,SYR,1851
178,Turkmenistan,TKM,1581
179,Eritrea,ERI,1576
180,Democratic People's Republic of Korea,PRK,1502
